epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4234.8,1.30299,1.24667,1.08514,0.66376,0.62226,0.65368,0.3513,1.7481,2.11962,1.30797,0.000177651,0.000177651,0.000177651
75,4291.3,1.31213,1.2564,1.08635,0.61234,0.68296,0.65059,0.34249,1.75976,2.11561,1.3108,0.000166149,0.000166149,0.000166149
76,4347.13,1.27974,1.22549,1.06789,0.61189,0.68297,0.65656,0.34655,1.76337,2.10054,1.31603,0.000154982,0.000154982,0.000154982
77,4403.74,1.28908,1.21758,1.0756,0.61023,0.68076,0.64929,0.34656,1.74858,2.09211,1.31088,0.000144161,0.000144161,0.000144161
78,4460.79,1.28433,1.21615,1.07475,0.64509,0.66051,0.65475,0.3472,1.764,2.10003,1.31921,0.000133695,0.000133695,0.000133695
79,4517.33,1.27889,1.18621,1.07702,0.62148,0.69087,0.65277,0.34966,1.75352,2.09979,1.30946,0.000123596,0.000123596,0.000123596
80,4573.88,1.27332,1.18826,1.07441,0.64309,0.67208,0.64997,0.34595,1.76509,2.09671,1.32003,0.000113873,0.000113873,0.000113873
81,4630.63,1.25347,1.17637,1.06556,0.67019,0.63316,0.64893,0.34672,1.75188,2.09265,1.31353,0.000104537,0.000104537,0.000104537
82,4686.97,1.24819,1.16542,1.06373,0.68323,0.65426,0.65338,0.34852,1.7455,2.08044,1.31621,9.55951e-05,9.55951e-05,9.55951e-05
83,4742.25,1.23959,1.16889,1.05787,0.66013,0.65128,0.66158,0.34706,1.74925,2.06937,1.30746,8.70577e-05,8.70577e-05,8.70577e-05
84,4797.48,1.23872,1.15715,1.05636,0.68402,0.63472,0.64696,0.34506,1.77004,2.09664,1.31863,7.89327e-05,7.89327e-05,7.89327e-05
85,4853.99,1.23178,1.15145,1.05392,0.66954,0.66327,0.65672,0.34854,1.75395,2.10867,1.30476,7.12282e-05,7.12282e-05,7.12282e-05
86,4910.17,1.21975,1.12508,1.0474,0.66997,0.64167,0.65069,0.34428,1.76656,2.11984,1.31672,6.39518e-05,6.39518e-05,6.39518e-05
87,4966.03,1.2188,1.12881,1.05193,0.67334,0.6582,0.65229,0.34149,1.76378,2.10484,1.3146,5.71106e-05,5.71106e-05,5.71106e-05
88,5021.63,1.22482,1.1331,1.05095,0.65222,0.67533,0.65413,0.34711,1.76192,2.11594,1.3109,5.07115e-05,5.07115e-05,5.07115e-05
89,5077.56,1.20537,1.12118,1.04721,0.66265,0.67937,0.65667,0.34716,1.75651,2.11471,1.30995,4.47606e-05,4.47606e-05,4.47606e-05
90,5132.86,1.20896,1.11964,1.04485,0.67959,0.63709,0.65364,0.34711,1.75903,2.13064,1.31008,3.9264e-05,3.9264e-05,3.9264e-05
